,Quarter,Time,Tm,Detail,DEN,SDG
0,1.0,4:50,Chargers,Antonio Gates 12 yard pass from Philip Rivers (Nate Kaeding kick),0,7
1,1.0,0:05,Chargers,Lorenzo Neal 4 yard rush (Nate Kaeding kick),0,14
2,2.0,12:49,Broncos,Jason Elam 34 yard field goal,3,14
3,2.0,10:15,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),3,21
4,2.0,0:23,Chargers,Antonio Gates 7 yard pass from Philip Rivers (Nate Kaeding kick),3,28
5,3.0,10:35,Broncos,Tony Scheffler 28 yard pass from Jay Cutler (Jason Elam kick),10,28
6,3.0,9:47,Broncos,Tony Scheffler 11 yard pass from Jay Cutler (Jason Elam kick),17,28
7,3.0,1:02,Broncos,Jason Elam 33 yard field goal,20,28
8,4.0,12:52,Chargers,Nate Kaeding 34 yard field goal,20,31
9,4.0,8:15,Chargers,Nate Kaeding 35 yard field goal,20,34
10,4.0,3:57,Chargers,LaDainian Tomlinson 6 yard rush (Nate Kaeding kick),20,41
11,4.0,3:10,Chargers,LaDainian Tomlinson 7 yard rush (Nate Kaeding kick),20,48
