,Quarter,Tm,Detail,STL,NYG
0,1.0,Cardinals,Gerry Perry 37 yard field goal,3,0
1,2.0,Giants,Mel Triplett 3 yard rush (Pat Summerall kick),3,7
2,2.0,Cardinals,Sonny Randle 41 yard pass from John Roach (Bobby Joe Conrad kick),10,7
3,3.0,Cardinals,Billy Stacy 33 yard defensive fumble return (Bobby Joe Conrad kick),17,7
4,3.0,Cardinals,Gerry Perry 44 yard field goal,20,7
5,4.0,Giants,Lindon Crow 65 yard defensive fumble return,20,13
