,Quarter,Tm,Detail,NWE,DEN
0,1.0,Broncos,Jim Turner 35 yard field goal,0,3
1,2.0,Broncos,Floyd Little 3 yard rush (Jim Turner kick),0,10
2,2.0,Patriots,Carl Garrett 1 yard rush (Mike Walker kick),7,10
3,2.0,Broncos,Rod Sherman 20 yard pass from Charley Johnson (Jim Turner kick),7,17
4,2.0,Broncos,Haven Moses 19 yard pass from Charley Johnson (Jim Turner kick),7,24
5,3.0,Broncos,Haven Moses 22 yard pass from Charley Johnson (Jim Turner kick),7,31
6,4.0,Patriots,Carl Garrett 5 yard rush (Mike Walker kick),14,31
7,4.0,Broncos,Floyd Little 5 yard rush (Jim Turner kick),14,38
8,4.0,Broncos,Fran Lynch 15 yard rush (Jim Turner kick),14,45
9,4.0,Patriots,Tom Reynolds 28 yard pass from Brian Dowling (Mike Walker kick),21,45
