,Quarter,Tm,Detail,SDG,STL
0,1.0,Cardinals,Pat Tilley 71 yard pass from Neil Lomax (Neil O'Donoghue kick),0,7
1,2.0,Cardinals,Neil O'Donoghue 39 yard field goal,0,10
2,2.0,Cardinals,Earl Ferrell 11 yard rush (Neil O'Donoghue kick),0,17
3,2.0,Cardinals,Doug Marsh 10 yard pass from Neil Lomax (Neil O'Donoghue kick),0,24
4,2.0,Cardinals,Neil Lomax 1 yard rush (Neil O'Donoghue kick),0,31
5,2.0,Cardinals,Neil Lomax 11 yard rush,0,37
6,2.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),7,37
7,3.0,Cardinals,Ottis Anderson 1 yard rush (Neil O'Donoghue kick),7,44
8,4.0,Chargers,Kellen Winslow 24 yard pass from Ed Luther (Rolf Benirschke kick),14,44
