,Quarter,Tm,Detail,OAK,SDG
0,1.0,Raiders,George Blanda 37 yard field goal,3,0
1,2.0,Raiders,George Blanda 42 yard field goal,6,0
2,3.0,Raiders,Fred Biletnikoff 36 yard pass from Daryle Lamonica (George Blanda kick),13,0
3,3.0,Raiders,Clarence Davis 2 yard rush (George Blanda kick),20,0
4,4.0,Raiders,Fred Biletnikoff 13 yard pass from Daryle Lamonica (George Blanda kick),27,0
5,4.0,Raiders,Ken Stabler 1 yard rush (George Blanda kick),34,0
