,Quarter,Tm,Detail,SDG,SEA
0,1.0,Seahawks,Chris Warren 30 yard rush (John Kasay kick),0,7
1,2.0,Chargers,John Carney 31 yard field goal,3,7
2,2.0,Chargers,John Carney 38 yard field goal,6,7
3,3.0,Chargers,Marion Butts 7 yard rush (John Carney kick),13,7
4,3.0,Seahawks,Trey Junkin 2 yard pass from Stan Gelbaugh (John Kasay kick),13,14
5,4.0,Chargers,John Carney 47 yard field goal,16,14
6,4.0,Chargers,Ronnie Harmon 5 yard rush (John Carney kick),23,14
7,4.0,Chargers,"Safety, Grossman sacked Gelbaugh in end zone",25,14
8,4.0,Chargers,Darren Carrington 28 yard interception return,31,14
