,Quarter,Time,Tm,Detail,NYG,STL
0,2.0,,Rams,Jeff Wilkins 23 yard field goal,0,3
1,2.0,,Rams,Jeff Wilkins 21 yard field goal,0,6
2,4.0,,Giants,Brad Daluiso 47 yard field goal,3,6
3,4.0,,Rams,Craig Heyward 4 yard rush (Jeff Wilkins kick),3,13
