,Quarter,Tm,Detail,MIN,GNB
0,1.0,Packers,Dale Livingston 28 yard field goal,0,3
1,3.0,Packers,Dale Livingston 33 yard field goal,0,6
2,4.0,Vikings,Fred Cox 24 yard field goal,3,6
3,4.0,Packers,Dave Hampton 101 yard kickoff return (Dale Livingston kick),3,13
4,4.0,Vikings,Gene Washington 12 yard pass from Gary Cuozzo (Fred Cox kick),10,13
