,Quarter,Tm,Detail,NYG,ATL
0,2.0,Falcons,Monroe Eley 1 yard rush (Nick Mike-Mayer kick),0,7
1,3.0,Falcons,Nick Mike-Mayer 35 yard field goal,0,10
2,4.0,Giants,Joe Danelo 47 yard field goal,3,10
3,4.0,Falcons,Alfred Jenkins 8 yard pass from Kim McQuilken (Nick Mike-Mayer kick),3,17
