,Quarter,Tm,Detail,DEN,SDG
0,1.0,Chargers,Fred Dean 11 yard defensive fumble return (Rolf Benirschke kick),0,7
1,1.0,Broncos,Jim Turner 35 yard field goal,3,7
2,2.0,Chargers,Charlie Joiner 32 yard pass from Joe Washington (Rolf Benirschke kick),3,14
3,3.0,Broncos,Haven Moses 33 yard pass from Craig Morton (Jim Turner kick),10,14
4,4.0,Broncos,Haven Moses 8 yard pass from Craig Morton (Jim Turner kick),17,14
