,Quarter,Tm,Detail,NYJ,DEN
0,1.0,Broncos,David Treadwell 37 yard field goal,0,3
1,2.0,Jets,Cary Blanchard 27 yard field goal,3,3
2,2.0,Broncos,Arthur Marshall 80 yard pass from John Elway (David Treadwell kick),3,10
3,2.0,Jets,Cary Blanchard 19 yard field goal,6,10
4,2.0,Broncos,Wymon Henderson 46 yard interception return (David Treadwell kick),6,17
5,3.0,Broncos,David Treadwell 23 yard field goal,6,20
6,3.0,Jets,Rob Moore 25 yard pass from Browning Nagle (Cary Blanchard kick),13,20
7,4.0,Jets,Cary Blanchard 36 yard field goal,16,20
8,4.0,Broncos,Greg Lewis 1 yard rush (David Treadwell kick),16,27
