,Quarter,Tm,Detail,NYG,NWE
0,1.0,Giants,Dave Meggett 17 yard pass from Jeff Hostetler (Matt Bahr kick),7,0
1,1.0,Giants,Matt Bahr 44 yard field goal,10,0
2,2.0,Patriots,Irving Fryar 40 yard pass from Tom Hodson (Jason Staurovsky kick),10,7
3,2.0,Patriots,Jason Staurovsky 19 yard field goal,10,10
4,2.0,Giants,Matt Bahr 27 yard field goal,13,10
