,Quarter,Time,Tm,Detail,DAL,DET
0,1.0,7:35,Lions,T.J. Duckett 32 yard rush (Jason Hanson kick),0,7
1,1.0,0:08,Lions,Jason Hanson 19 yard field goal,0,10
2,2.0,12:13,Cowboys,Marion Barber III 20 yard rush (Nick Folk kick),7,10
3,2.0,8:22,Lions,Jason Hanson 36 yard field goal,7,13
4,2.0,1:41,Lions,Kevin Jones 2 yard rush (Jason Hanson kick),7,20
5,2.0,0:29,Cowboys,Marion Barber III 8 yard pass from Tony Romo (Nick Folk kick),14,20
6,3.0,4:19,Lions,Kevin Jones 3 yard rush (Jason Hanson kick),14,27
7,4.0,14:12,Cowboys,Marion Barber III 1 yard rush (Nick Folk kick),21,27
8,4.0,0:18,Cowboys,Jason Witten 16 yard pass from Tony Romo (Nick Folk kick),28,27
