,Quarter,Tm,Detail,BAL,GNB
0,2.0,Packers,Babe Parilli 1 yard rush (Fred Cone kick),0,7
1,2.0,Packers,Fred Cone 11 yard rush,0,13
2,3.0,Packers,Breezy Reid 7 yard rush (Fred Cone kick),0,20
3,3.0,Packers,Al Carmichael 41 yard rush (Fred Cone kick),0,27
4,3.0,Colts,John Huzvar 30 yard pass from Fred Enke (Buck McPhail kick),7,27
5,4.0,Packers,Fred Cone 19 yard field goal,7,30
6,4.0,Packers,Val Joe Walker 54 yard interception return (Fred Cone kick),7,37
7,4.0,Colts,Bert Rechichar 55 yard pass from Fred Enke (Buck McPhail kick),14,37
