,Quarter,Time,Tm,Detail,WAS,DAL
0,2.0,11:20,Cowboys,Jose Cortez 33 yard field goal,0,3
1,3.0,12:51,Cowboys,Terry Glenn 70 yard pass from Drew Bledsoe (Jose Cortez kick),0,10
2,4.0,5:58,Cowboys,Jose Cortez 41 yard field goal,0,13
3,4.0,3:46,Redskins,Santana Moss 39 yard pass from Mark Brunell (Nick Novak kick),7,13
4,4.0,2:35,Redskins,Santana Moss 70 yard pass from Mark Brunell (Nick Novak kick),14,13
