,Quarter,Time,Tm,Detail,SEA,NYG
0,1.0,5:43,Seahawks,Shaun Alexander 29 yard rush (Rian Lindell kick),7,0
1,1.0,2:53,Giants,Ron Dayne 31 yard rush (Morten Andersen kick),7,7
2,2.0,11:31,Seahawks,Rian Lindell 20 yard field goal,10,7
3,2.0,5:52,Giants,Michael Strahan 13 yard defensive fumble return (Morten Andersen kick),10,14
4,2.0,3:24,Seahawks,John Randle defensive fumble recovery in end zone (Rian Lindell kick),17,14
5,2.0,0:15,Giants,Morten Andersen 32 yard field goal,17,17
6,3.0,12:53,Seahawks,Shaun Alexander 16 yard pass from Matt Hasselbeck (Rian Lindell kick),24,17
7,4.0,12:41,Giants,Morten Andersen 33 yard field goal,24,20
8,4.0,0:20,Giants,Ike Hilliard 7 yard pass from Kerry Collins (Morten Andersen kick),24,27
