,Quarter,Time,Tm,Detail,CIN,BAL
0,2.0,12:17,Ravens,Ed Reed 52 yard interception return (Stephen Hauschka kick),0,7
1,2.0,10:11,Bengals,Shayne Graham 32 yard field goal,3,7
2,3.0,0:52,Bengals,Cedric Benson 28 yard rush (Shayne Graham kick),10,7
3,4.0,6:59,Ravens,Ray Rice 48 yard pass from Joe Flacco (Stephen Hauschka kick),10,14
4,4.0,0:22,Bengals,Andre Caldwell 20 yard pass from Carson Palmer (Shayne Graham kick),17,14
