,Quarter,Time,Tm,Detail,IND,DAL
0,1.0,,Colts,Cary Blanchard 23 yard field goal,3,0
1,1.0,,Cowboys,Daryl Johnston 5 yard pass from Troy Aikman (Chris Boniol kick),3,7
2,2.0,,Cowboys,Deion Sanders 22 yard defensive fumble return (Chris Boniol kick),3,14
3,2.0,,Cowboys,Emmitt Smith 2 yard rush (Chris Boniol kick),3,21
4,2.0,,Colts,Cary Blanchard 25 yard field goal,6,21
5,2.0,,Colts,Cary Blanchard 52 yard field goal,9,21
6,3.0,,Colts,Marcus Pollard 48 yard pass from Jim Harbaugh (Cary Blanchard kick),16,21
7,3.0,,Colts,Ken Dilger 8 yard pass from Jim Harbaugh (pass failed),22,21
8,4.0,,Cowboys,Chris Boniol 52 yard field goal,22,24
9,4.0,,Colts,Cary Blanchard 43 yard field goal,25,24
