,Quarter,Tm,Detail,SDG,PHO
0,2.0,Cardinals,Al Del Greco 36 yard field goal,0,3
1,3.0,Cardinals,Al Del Greco 33 yard field goal,0,6
2,3.0,Chargers,Anthony Miller 16 yard pass from Jim McMahon (Chris Bahr kick),7,6
3,3.0,Cardinals,Roy Green 59 yard pass from Gary Hogeboom (Al Del Greco kick),7,13
4,4.0,Chargers,Marion Butts 2 yard rush (Chris Bahr kick),14,13
5,4.0,Chargers,Billy Ray Smith 15 yard defensive fumble return (Chris Bahr kick),21,13
6,4.0,Chargers,Chris Bahr 37 yard field goal,24,13
