,Quarter,Tm,Detail,SFO,CLE
0,1.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),0,7
1,2.0,49ers,Billy Wilson 21 yard pass from John Brodie (Tommy Davis kick),7,7
2,2.0,49ers,J.D. Smith 21 yard pass from John Brodie (Tommy Davis kick),14,7
3,2.0,49ers,Hugh McElhenny 12 yard rush (Tommy Davis kick),21,7
4,2.0,Browns,Lou Groza 32 yard field goal,21,10
5,3.0,Browns,Lou Groza 48 yard field goal,21,13
6,4.0,Browns,Jim Brown 2 yard rush (Lou Groza kick),21,20
