,Quarter,Tm,Detail,PHO,SEA
0,1,Seahawks,Chris Warren 45 yard rush (John Kasay kick),0,7
1,1,Seahawks,John Kasay 37 yard field goal,0,10
2,1,Cardinals,Randal Hill 58 yard pass from Steve Beuerlein (Greg Davis kick),7,10
3,2,Seahawks,John Kasay 47 yard field goal,7,13
4,2,Seahawks,Ferrell Edmunds 1 yard pass from Rick Mirer (John Kasay kick),7,20
5,3,Cardinals,Gary Clark 20 yard pass from Steve Beuerlein (Greg Davis kick),14,20
6,4,Cardinals,Larry Centers 16 yard pass from Steve Beuerlein (Greg Davis kick),21,20
7,4,Cardinals,Greg Davis 50 yard field goal,24,20
8,4,Seahawks,Rick Mirer 1 yard rush (John Kasay kick),24,27
9,4,Cardinals,Greg Davis 55 yard field goal,27,27
10,OT,Cardinals,Greg Davis 41 yard field goal,30,27
