,Quarter,Tm,Detail,KAN,CLE
0,1,Cowboys,Phil White 60 yard pass from Obie Bristow (Roy Andrews kick),7,0
1,2,Cowboys,Al Bloodgood 35 yard field goal,10,0
2,4,Cowboys,Charley Hill unknown yard pass from Obie Bristow (Al Bloodgood kick),17,0
