,Quarter,Tm,Detail,DAL,SFO
0,1.0,Cowboys,Lin Elliott 20 yard field goal,3,0
1,1.0,49ers,Steve Young 1 yard rush (Mike Cofer kick),3,7
2,2.0,Cowboys,Emmitt Smith 5 yard rush (Lin Elliott kick),10,7
3,2.0,49ers,Mike Cofer 28 yard field goal,10,10
4,3.0,Cowboys,Daryl Johnston 4 yard rush (Lin Elliott kick),17,10
5,3.0,49ers,Mike Cofer 42 yard field goal,17,13
6,4.0,Cowboys,Emmitt Smith 16 yard pass from Troy Aikman (Lin Elliott kick),24,13
7,4.0,49ers,Jerry Rice 5 yard pass from Steve Young (Mike Cofer kick),24,20
8,4.0,Cowboys,Kelvin Martin 6 yard pass from Troy Aikman,30,20
