,Quarter,Time,Tm,Detail,NOR,GNB
0,1.0,11:06,Packers,Greg Jennings 22 yard pass from Brett Favre (Dave Rayner kick),0,7
1,1.0,8:38,Packers,Dave Rayner 24 yard field goal,0,10
2,1.0,0:50,Packers,Dave Rayner 36 yard field goal,0,13
3,2.0,7:44,Saints,Deuce McAllister 3 yard rush (John Carney kick),7,13
4,2.0,0:56,Saints,Devery Henderson 26 yard pass from Drew Brees (John Carney kick),14,13
5,3.0,5:41,Saints,John Carney 45 yard field goal,17,13
6,3.0,3:02,Saints,John Carney 47 yard field goal,20,13
7,4.0,14:18,Packers,Robert Ferguson 4 yard pass from Brett Favre (Dave Rayner kick),20,20
8,4.0,8:20,Saints,Marques Colston 35 yard pass from Drew Brees (John Carney kick),27,20
9,4.0,7:54,Saints,Deuce McAllister 23 yard rush (John Carney kick),34,20
10,4.0,4:18,Packers,Noah Herron 6 yard pass from Brett Favre (Dave Rayner kick),34,27
