,Quarter,Time,Tm,Detail,SDG,NWE
0,1.0,,Patriots,Leroy Thompson 27 yard pass from Drew Bledsoe (Matt Bahr kick),0,7
1,2.0,,Patriots,Matt Bahr 39 yard field goal,0,10
2,3.0,,Chargers,John Carney 34 yard field goal,3,10
3,3.0,,Patriots,Matt Bahr 38 yard field goal,3,13
4,3.0,4:45,Chargers,Andre Coleman 80 yard kickoff return (John Carney kick),10,13
5,4.0,4:45,Patriots,Marion Butts 1 yard rush (Matt Bahr kick),10,20
6,4.0,4:45,Patriots,Matt Bahr 23 yard field goal,10,23
7,4.0,4:45,Chargers,Tony Martin 2 yard pass from Stan Humphries (John Carney kick),17,23
