,Quarter,Time,Tm,Detail,NYG,MIN
0,1.0,12:31,Vikings,Randy Moss 28 yard pass from Daunte Culpepper (Gary Anderson kick),0,7
1,1.0,6:46,Giants,Morten Andersen 43 yard field goal,3,7
2,1.0,0:04,Giants,Tiki Barber 1 yard rush (Morten Andersen kick),10,7
3,2.0,3:54,Vikings,Randy Moss 25 yard pass from Daunte Culpepper (Gary Anderson kick),10,14
4,2.0,1:05,Giants,Morten Andersen 36 yard field goal,13,14
5,3.0,11:28,Giants,Morten Andersen 51 yard field goal,16,14
6,4.0,9:03,Vikings,Cris Carter 1 yard pass from Daunte Culpepper (Gary Anderson kick),16,21
7,4.0,6:32,Vikings,Randy Moss 57 yard pass from Daunte Culpepper (Gary Anderson kick),16,28
