,Quarter,Tm,Detail,CLE,FRN
0,2.0,Yellow Jackets,Ken Mercer unknown yard field goal,0,3
1,2.0,Yellow Jackets,Ken Mercer unknown yard field goal,0,6
2,2.0,Yellow Jackets,Charley Rogers unknown yard rush (Ken Mercer kick),0,13
3,2.0,Yellow Jackets,"Safety,",0,15
4,4.0,Yellow Jackets,Chuck Kassel fumble recovery in end zone (Ken Mercer kick),0,22
