,Quarter,Time,Tm,Detail,PIT,CLE
0,1.0,5:16,Steelers,Kordell Stewart 1 yard rush (Kris Brown kick),7,0
1,2.0,9:56,Steelers,Kris Brown 18 yard field goal,10,0
2,2.0,4:49,Steelers,Richard Huntley 5 yard pass from Kordell Stewart (Kris Brown kick),17,0
3,2.0,0:06,Steelers,Kris Brown 28 yard field goal,20,0
4,3.0,5:28,Steelers,Richard Huntley 3 yard rush,26,0
5,4.0,11:10,Steelers,Kris Brown 19 yard field goal,29,0
6,4.0,10:48,Steelers,Richard Huntley 21 yard pass from Mike Tomczak (Kris Brown kick),36,0
7,4.0,6:08,Steelers,Hines Ward 1 yard pass from Mike Tomczak (Kris Brown kick),43,0
