,Quarter,Time,Tm,Detail,OAK,NYJ
0,1.0,,Raiders,Andrew Glover 2 yard pass from Jeff Hostetler (Cole Ford kick),7,0
1,1.0,,Raiders,Harvey Williams 8 yard rush (Cole Ford kick),14,0
2,2.0,,Raiders,Cole Ford 29 yard field goal,17,0
3,2.0,,Jets,Nick Lowery 33 yard field goal,17,3
4,2.0,,Raiders,Tim Brown 17 yard pass from Jeff Hostetler (Cole Ford kick),24,3
5,2.0,,Raiders,Daryl Hobbs 6 yard pass from Jeff Hostetler (Cole Ford kick),31,3
6,3.0,,Jets,Kyle Brady 3 yard pass from Boomer Esiason (Nick Lowery kick),31,10
7,3.0,,Raiders,Tim Brown 66 yard pass from Jeff Hostetler,37,10
8,3.0,,Raiders,Cole Ford 26 yard field goal,40,10
9,4.0,,Raiders,Mike Jones 47 yard defensive fumble return (Cole Ford kick),47,10
