,Quarter,Time,Tm,Detail,OAK,NYG
0,1.0,,Raiders,Jeff Jaeger 30 yard field goal,3,0
1,2.0,,Raiders,Rocket Ismail 40 yard pass from Jeff Hostetler (Jeff Jaeger kick),10,0
2,2.0,,Giants,Brad Daluiso 32 yard field goal,10,3
3,3.0,,Giants,Brad Daluiso 32 yard field goal,10,6
4,3.0,,Giants,Dave Brown 11 yard rush (Brad Daluiso kick),10,13
5,4.0,,Raiders,Harvey Williams 6 yard rush (Jeff Jaeger kick),17,13
