,Quarter,Tm,Detail,MIN,HOU
0,1.0,Oilers,Tony Zendejas 31 yard field goal,0,3
1,2.0,Vikings,Allen Rice 32 yard pass from Tommy Kramer (Chuck Nelson kick),7,3
2,2.0,Oilers,Ernest Givins 10 yard pass from Warren Moon (Tony Zendejas kick),7,10
3,2.0,Oilers,Tony Zendejas 33 yard field goal,7,13
4,4.0,Oilers,Tony Zendejas 36 yard field goal,7,16
5,4.0,Vikings,Chuck Nelson 40 yard field goal,10,16
6,4.0,Oilers,Allen Pinkett 1 yard rush (Tony Zendejas kick),10,23
