,Quarter,Tm,Detail,NYG,SDG
0,2.0,Chargers,John Cappelletti 1 yard rush (Rolf Benirschke kick),0,7
1,2.0,Chargers,John Jefferson 39 yard pass from Dan Fouts (Rolf Benirschke kick),0,14
2,2.0,Chargers,Charlie Joiner 11 yard pass from Dan Fouts (Rolf Benirschke kick),0,21
3,3.0,Giants,Billy Taylor 1 yard rush (Joe Danelo kick),7,21
4,3.0,Chargers,John Cappelletti 1 yard rush (Rolf Benirschke kick),7,28
5,4.0,Chargers,John Floyd 31 yard pass from Dan Fouts,7,34
6,4.0,Chargers,Rolf Benirschke 50 yard field goal,7,37
7,4.0,Chargers,Chuck Muncie 5 yard rush (Rolf Benirschke kick),7,44
