,Quarter,Time,Tm,Detail,KAN,HOU
0,2.0,7:33,Texans,Kris Brown 26 yard field goal,0,3
1,2.0,6:01,Texans,Andre Johnson 77 yard pass from Matt Schaub (Kris Brown kick),0,10
2,3.0,14:01,Texans,Mario Williams 38 yard defensive fumble return (Kris Brown kick),0,17
3,3.0,0:26,Chiefs,Justin Medlock 27 yard field goal,3,17
4,4.0,5:00,Texans,Kris Brown 28 yard field goal,3,20
