,Quarter,Tm,Detail,DAY,NYG
0,1.0,Giants,Lynn Bomar 35 yard pass from Jack McBride (Jack McBride kick),0,7
1,2.0,Giants,Dutch Hendrian 34 yard pass from Jack McBride (Jack McBride kick),0,14
2,2.0,Giants,Jack McBride 22 yard field goal,0,17
3,4.0,Giants,Phil White 3 yard rush,0,23
