,Quarter,Time,Tm,Detail,CLE,NOR
0,1.0,3:59,Saints,Keith Poole 5 yard pass from Billy Joe Hobert (Doug Brien kick),0,7
1,2.0,7:37,Browns,Marc Edwards 27 yard pass from Tim Couch (Phil Dawson kick),7,7
2,2.0,0:08,Saints,Doug Brien 49 yard field goal,7,10
3,3.0,8:53,Browns,Kevin Johnson 24 yard pass from Tim Couch (Phil Dawson kick),14,10
4,3.0,1:15,Saints,Doug Brien 22 yard field goal,14,13
5,4.0,0:21,Saints,Doug Brien 46 yard field goal,14,16
6,4.0,0:00,Browns,Kevin Johnson 56 yard pass from Tim Couch (Phil Dawson kick),21,16
