,Quarter,Tm,Detail,DET,ATL
0,2.0,Falcons,Haskel Stanback 17 yard rush (Nick Mike-Mayer kick),0,7
1,2.0,Lions,Horace King 5 yard rush (Errol Mann kick),7,7
2,3.0,Falcons,Gerald Tinker 26 yard pass from Steve Bartkowski (Nick Mike-Mayer kick),7,14
3,3.0,Lions,Errol Mann 29 yard field goal,10,14
4,4.0,Lions,Altie Taylor 1 yard rush (Errol Mann kick),17,14
