,Quarter,Tm,Detail,IND,MIA
0,1.0,Colts,Albert Bentley 15 yard pass from Jeff George (Dean Biasucci kick),7,0
1,1.0,Dolphins,Sammie Smith 53 yard pass from Dan Marino (Pete Stoyanovich kick),7,7
2,2.0,Dolphins,Sammie Smith 1 yard rush (Pete Stoyanovich kick),7,14
3,2.0,Colts,Jessie Hester 64 yard pass from Jeff George (Dean Biasucci kick),14,14
4,2.0,Dolphins,"Safety, George intentional grounding in end zone",14,16
5,4.0,Dolphins,Brian Sochia 13 yard defensive fumble return (Pete Stoyanovich kick),14,23
6,4.0,Colts,Dean Biasucci 55 yard field goal,17,23
