,Quarter,Tm,Detail,NWE,BUF
0,2.0,Patriots,Vincent Brown 25 yard defensive fumble return (Charlie Baumann kick),7,0
1,3.0,Bills,Pete Metzelaars 3 yard pass from Jim Kelly (Steve Christie kick),7,7
2,3.0,Bills,"Safety, Hale tackled McCarthy in end zone",7,9
3,4.0,Bills,James Lofton 13 yard pass from Jim Kelly (Steve Christie kick),7,16
