,Quarter,Tm,Detail,MIA,NWE
0,1.0,Patriots,Randy Vataha 31 yard pass from Neil Graff (John Smith kick),0,7
1,2.0,Patriots,Russ Francis 5 yard pass from Neil Graff (John Smith kick),0,14
2,3.0,Dolphins,Garo Yepremian 26 yard field goal,3,14
3,3.0,Dolphins,Don Nottingham 4 yard rush,9,14
4,4.0,Dolphins,Norm Bulaich 1 yard rush (Garo Yepremian kick),16,14
5,4.0,Dolphins,Garo Yepremian 26 yard field goal,19,14
6,4.0,Dolphins,Garo Yepremian 33 yard field goal,22,14
