,Quarter,Time,Tm,Detail,DAL,NYJ
0,1.0,3:30,Jets,Le'Veon Bell 2 yard rush (Sam Ficken kick),0,7
1,2.0,15:00,Cowboys,Brett Maher 50 yard field goal,3,7
2,2.0,3:46,Jets,Robby Anderson 92 yard pass from Sam Darnold (Sam Ficken kick),3,14
3,2.0,0:31,Jets,Ryan Griffin 5 yard pass from Sam Darnold (Sam Ficken kick),3,21
4,2.0,0:05,Cowboys,Brett Maher 62 yard field goal,6,21
5,3.0,7:54,Cowboys,Brett Maher 32 yard field goal,9,21
6,4.0,6:36,Cowboys,Ezekiel Elliott 5 yard rush (Brett Maher kick),16,21
7,4.0,3:27,Jets,Sam Ficken 38 yard field goal,16,24
8,4.0,0:47,Cowboys,Dak Prescott 4 yard rush (pass failed),22,24
