,Quarter,Tm,Detail,DUL,MIL
0,2,Kelleys,Joey Sternaman unknown yard field goal,3,0
1,3,Badgers,Ben Winkelman unknown yard field goal,3,3
2,4,Badgers,Ben Winkelman unknown yard field goal,3,6
