,Quarter,Tm,Detail,GNB,TAM
0,1.0,Buccaneers,Steve Christie 24 yard field goal,0,3
1,2.0,Buccaneers,Steve Christie 32 yard field goal,0,6
2,2.0,Buccaneers,Steve Christie 39 yard field goal,0,9
3,2.0,Buccaneers,Ron Hall 14 yard pass from Vinny Testaverde (Steve Christie kick),0,16
4,3.0,Buccaneers,Steve Christie 32 yard field goal,0,19
5,3.0,Packers,Jeff Query offensive fumble recovery in end zone (Chris Jacke kick),7,19
6,3.0,Buccaneers,Wayne Haddix 29 yard interception return (Steve Christie kick),7,26
7,3.0,Packers,Herman Fontenot 8 yard pass from Don Majkowski (Chris Jacke kick),14,26
