,Quarter,Tm,Detail,RAI,NWE
0,1.0,Patriots,Tony Franklin 47 yard field goal,0,3
1,1.0,Raiders,Lester Hayes 27 yard interception return (Chris Bahr kick),7,3
2,1.0,Patriots,Irving Fryar 40 yard pass from Tony Eason (Tony Franklin kick),7,10
3,1.0,Raiders,Dokie Williams 38 yard pass from Marc Wilson (Chris Bahr kick),14,10
4,2.0,Patriots,Tony Franklin 20 yard field goal,14,13
5,2.0,Patriots,Andre Tippett 25 yard special teams fumble return (Tony Franklin kick),14,20
6,3.0,Raiders,Lyle Alzado defensive fumble recovery in end zone (Chris Bahr kick),21,20
7,4.0,Raiders,Todd Christensen 2 yard pass from Rusty Hilger (Chris Bahr kick),28,20
8,4.0,Raiders,Sam Seale 38 yard interception return (Chris Bahr kick),35,20
