,Quarter,Tm,Detail,DET,CHI
0,1.0,Lions,Gerry Perry 28 yard field goal,3,0
1,2.0,Lions,Dave Middleton 42 yard pass from Tobin Rote (Gerry Perry kick),10,0
2,2.0,Bears,Bill McColl 19 yard pass from Ed Brown (George Blanda kick),10,7
3,2.0,Lions,Gerry Perry 11 yard field goal,13,7
4,3.0,Lions,Gerry Perry 18 yard field goal,16,7
5,4.0,Bears,Ralph Anderson 30 yard pass from Ed Brown (George Blanda kick),16,14
6,4.0,Bears,Willie Galimore 36 yard rush (George Blanda kick),16,21
