,Quarter,Time,Tm,Detail,DET,GNB
0,1.0,,Packers,Dorsey Levens 3 yard rush (Chris Jacke kick),0,7
1,2.0,,Packers,Chris Jacke 51 yard field goal,0,10
2,3.0,,Lions,Jason Hanson 38 yard field goal,3,10
3,3.0,,Packers,Chris Jacke 32 yard field goal,3,13
4,4.0,1:45,Lions,Brett Perriman 3 yard pass from Dave Krieg (Jason Hanson kick),10,13
5,4.0,1:45,Packers,Chris Jacke 28 yard field goal,10,16
6,4.0,1:45,Lions,"Safety, Hentrich ran out of end zone",12,16
