,Quarter,Tm,Detail,PHI,BUF
0,1.0,Eagles,Tom Dempsey 51 yard field goal,3,0
1,1.0,Bills,John Leypoldt 12 yard field goal,3,3
2,1.0,Eagles,Tom Dempsey 22 yard field goal,6,3
3,1.0,Bills,Wallace Francis 101 yard kickoff return (John Leypoldt kick),6,10
4,2.0,Bills,Joe Ferguson 1 yard rush (John Leypoldt kick),6,17
5,2.0,Eagles,Norm Bulaich 7 yard pass from Roman Gabriel (Tom Dempsey kick),13,17
6,2.0,Bills,O.J. Simpson 2 yard rush (John Leypoldt kick),13,24
7,2.0,Eagles,Tom Dempsey 14 yard field goal,16,24
8,3.0,Eagles,Charle Young 9 yard pass from Roman Gabriel (Tom Dempsey kick),23,24
9,4.0,Eagles,Tom Dempsey 19 yard field goal,26,24
10,4.0,Bills,John Leypoldt 47 yard field goal,26,27
