,Quarter,Tm,Detail,MIN,GNB
0,2.0,Packers,Dutch Hendrian unknown yard rush,0,6
1,2.0,Packers,Dutch Hendrian unknown yard rush (Cub Buck kick),0,13
2,4.0,Packers,Les Hearden unknown yard pass from Curly Lambeau,0,19
