,Quarter,Tm,Detail,GNB,RAM
0,2.0,Packers,Don Hutson 5 yard pass from Arnie Herber (Ernie Smith kick),7,0
1,2.0,Rams,Bob Snyder 30 yard field goal,7,3
2,2.0,Packers,Don Hutson 35 yard pass from Bob Monnett (Ernie Smith kick),14,3
3,3.0,Packers,Don Hutson 35 yard pass from Arnie Herber (Ed Jankowski kick),21,3
4,4.0,Rams,Johnny Drake 1 yard rush (Bob Snyder kick),21,10
5,4.0,Packers,Clarke Hinkle 20 yard rush (Ernie Smith kick),28,10
6,4.0,Packers,Joe Laws 5 yard rush (Ernie Smith kick),35,10
