,Quarter,Time,Tm,Detail,JAX,PIT
0,1.0,10:03,Steelers,Najeh Davenport 1 yard rush (Jeff Reed kick),0,7
1,1.0,9:39,Jaguars,Fred Taylor 1 yard rush (Josh Scobee kick),7,7
2,2.0,10:19,Jaguars,Rashean Mathis 63 yard interception return (Josh Scobee kick),14,7
3,2.0,8:34,Jaguars,Maurice Jones-Drew 43 yard pass from David Garrard (Josh Scobee kick),21,7
4,3.0,9:24,Steelers,Jeff Reed 28 yard field goal,21,10
5,3.0,4:39,Jaguars,Maurice Jones-Drew 10 yard rush (Josh Scobee kick),28,10
6,4.0,14:53,Steelers,Santonio Holmes 37 yard pass from Ben Roethlisberger (Jeff Reed kick),28,17
7,4.0,10:25,Steelers,Heath Miller 14 yard pass from Ben Roethlisberger,28,23
8,4.0,6:21,Steelers,Najeh Davenport 1 yard rush (pass failed),28,29
9,4.0,0:37,Jaguars,Josh Scobee 25 yard field goal,31,29
