,Quarter,Time,Tm,Detail,CHI,NYJ
0,1.0,4:32,Jets,Anthony Becht 2 yard pass from Vinny Testaverde,0,7
1,2.0,10:40,Jets,John Hall 20 yard field goal,0,10
2,2.0,0:32,Jets,Richie Anderson 15 yard pass from Vinny Testaverde,0,17
3,3.0,1:52,Bears,Paul Edinger 39 yard field goal,3,17
4,4.0,5:14,Bears,Marty Booker 6 yard pass from Shane Matthews,10,17
