,Quarter,Time,Tm,Detail,ATL,NOR
0,1,,Falcons,Morten Andersen 19 yard field goal,3,0
1,1,,Saints,Quinn Early 70 yard pass from Jim Everett (Chip Lohmiller kick),3,7
2,1,,Saints,Chip Lohmiller 21 yard field goal,3,10
3,2,,Falcons,Terance Mathis 31 yard pass from Jeff George (Morten Andersen kick),10,10
4,2,,Falcons,Morten Andersen 33 yard field goal,13,10
5,3,,Falcons,Morten Andersen 46 yard field goal,16,10
6,3,,Saints,Michael Haynes 9 yard pass from Jim Everett (Chip Lohmiller kick),16,17
7,4,,Saints,Wesley Walls 28 yard pass from Jim Everett (Chip Lohmiller kick),16,24
8,4,,Falcons,Craig Heyward 7 yard rush (Terance Mathis pass from Jeff George),24,24
9,OT,,Falcons,Morten Andersen 21 yard field goal,27,24
