,Quarter,Time,Tm,Detail,DAL,IND
0,1.0,12:58,Cowboys,Emmitt Smith 2 yard rush (Richie Cunningham kick),7,0
1,1.0,6:34,Cowboys,Richie Cunningham 24 yard field goal,10,0
2,1.0,2:22,Colts,Mike Vanderjagt 43 yard field goal,10,3
3,2.0,10:26,Cowboys,Chris Warren 4 yard rush (Richie Cunningham kick),17,3
4,2.0,1:15,Colts,Mike Vanderjagt 30 yard field goal,17,6
5,3.0,8:35,Colts,Terrence Wilkins offensive fumble recovery in end zone (Marvin Harrison pass from Peyton Manning),17,14
6,3.0,8:01,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),17,21
7,3.0,3:26,Cowboys,Emmitt Smith 4 yard rush (Richie Cunningham kick),24,21
8,4.0,14:55,Colts,Marvin Harrison 40 yard pass from Peyton Manning (Mike Vanderjagt kick),24,28
9,4.0,10:43,Colts,Mike Vanderjagt 33 yard field goal,24,31
10,4.0,4:36,Colts,Mike Vanderjagt 27 yard field goal,24,34
