,Quarter,Tm,Detail,IND,CIN
0,1.0,Bengals,Ickey Woods 1 yard rush,0,6
1,1.0,Colts,Jessie Hester 19 yard pass from Jeff George (Dean Biasucci kick),7,6
2,2.0,Colts,Eric Dickerson 1 yard rush (Dean Biasucci kick),14,6
3,2.0,Colts,Dean Biasucci 22 yard field goal,17,6
4,3.0,Colts,Bill Brooks 5 yard pass from Jeff George (Dean Biasucci kick),24,6
5,3.0,Colts,Stanley Morgan 6 yard pass from Jeff George (Dean Biasucci kick),31,6
6,3.0,Bengals,Eddie Brown 21 yard pass from Boomer Esiason (Jim Breech kick),31,13
7,3.0,Bengals,Eddie Brown 20 yard pass from Boomer Esiason (Jim Breech kick),31,20
8,4.0,Colts,Dean Biasucci 26 yard field goal,34,20
