,Quarter,Tm,Detail,SFO,DAL
0,1.0,Cowboys,Drew Pearson 16 yard pass from Danny White (Rafael Septien kick),0,7
1,1.0,Cowboys,Ron Springs 2 yard rush (Rafael Septien kick),0,14
2,2.0,Cowboys,Rafael Septien 26 yard field goal,0,17
3,2.0,Cowboys,Drew Pearson 22 yard pass from Danny White (Rafael Septien kick),0,24
4,2.0,49ers,Dwight Clark 52 yard pass from Steve DeBerg (Ray Wersching kick),7,24
5,2.0,Cowboys,Tony Dorsett 2 yard rush (Rafael Septien kick),7,31
6,2.0,Cowboys,Drew Pearson 17 yard pass from Danny White (Rafael Septien kick),7,38
7,3.0,Cowboys,Billy Joe DuPree 9 yard pass from Danny White (Rafael Septien kick),7,45
8,3.0,Cowboys,Ron Springs 20 yard rush (Rafael Septien kick),7,52
9,4.0,Cowboys,Robert Newhouse 3 yard rush (Rafael Septien kick),7,59
10,4.0,49ers,Dwight Clark 19 yard pass from Steve DeBerg (Ray Wersching kick),14,59
