,Quarter,Tm,Detail,PHI,PIT
0,1.0,Pirates,Armand Niccolai 28 yard field goal,0,3
1,2.0,Pirates,Swede Johnston 2 yard rush (Armand Niccolai kick),0,10
2,2.0,Pirates,Lou Tomasetti 1 yard rush (Armand Niccolai kick),0,17
3,3.0,Pirates,George Platukis 37 yard pass from Boyd Brumbaugh (Armand Niccolai kick),0,24
4,3.0,Eagles,Davey O'Brien 2 yard rush,6,24
5,4.0,Eagles,Joe Bukant 3 yard rush,12,24
