,Quarter,Time,Tm,Detail,IND,NYJ
0,1.0,12:28,Colts,Dominic Rhodes 6 yard rush (Martin Gramatica kick),7,0
1,2.0,10:10,Jets,Jerricho Cotchery 33 yard pass from Chad Pennington (Mike Nugent kick),7,7
2,2.0,4:44,Jets,Kevan Barlow 1 yard rush (Mike Nugent kick),7,14
3,2.0,0:16,Colts,Joseph Addai 2 yard rush (Martin Gramatica kick),14,14
4,4.0,12:58,Colts,Martin Gramatica 20 yard field goal,17,14
5,4.0,7:55,Jets,Kevan Barlow 5 yard rush (Mike Nugent kick),17,21
6,4.0,2:34,Colts,Bryan Fletcher 2 yard pass from Peyton Manning (Martin Gramatica kick),24,21
7,4.0,2:20,Jets,Justin Miller 103 yard kickoff return (Mike Nugent kick),24,28
8,4.0,0:50,Colts,Peyton Manning 1 yard rush (Martin Gramatica kick),31,28
