,Quarter,Tm,Detail,CLE,WAS
0,2.0,Browns,Matt Bahr 37 yard field goal,3,0
1,3.0,Redskins,Gary Clark 7 yard pass from Mark Rypien (Chip Lohmiller kick),3,7
2,3.0,Redskins,Chip Lohmiller 21 yard field goal,3,10
3,4.0,Browns,Kevin Mack 1 yard rush (Matt Bahr kick),10,10
4,4.0,Redskins,Chip Lohmiller 40 yard field goal,10,13
5,4.0,Browns,Earnest Byner 27 yard rush (Matt Bahr kick),17,13
