,Quarter,Tm,Detail,KAN,HOU
0,2.0,Oilers,Curtis Duncan 2 yard pass from Warren Moon (Al Del Greco kick),0,7
1,3.0,Oilers,Al Del Greco 25 yard field goal,0,10
2,3.0,Oilers,Al Del Greco 22 yard field goal,0,13
3,4.0,Oilers,Al Del Greco 50 yard field goal,0,16
4,4.0,Oilers,Cris Dishman 58 yard defensive fumble return (Al Del Greco kick),0,23
5,4.0,Oilers,Lorenzo White 1 yard rush (Al Del Greco kick),0,30
