,Quarter,Time,Tm,Detail,BAL,PIT
0,1.0,1:45,Steelers,Kris Brown 38 yard field goal,0,3
1,2.0,14:56,Ravens,Shannon Sharpe 13 yard pass from Randall Cunningham (Matt Stover kick),7,3
2,2.0,0:15,Steelers,Plaxico Burress 21 yard pass from Kordell Stewart (Kris Brown kick),7,10
3,4.0,14:57,Ravens,Matt Stover 25 yard field goal,10,10
4,4.0,1:49,Ravens,Matt Stover 39 yard field goal,13,10
