,Quarter,Tm,Detail,NOR,RAI
0,1.0,Raiders,Marcus Allen 11 yard rush (Chris Bahr kick),0,7
1,2.0,Raiders,Marcus Allen 8 yard rush (Chris Bahr kick),0,14
2,2.0,Saints,Guido Merkens 39 yard pass from Dave Wilson (Morten Andersen kick),7,14
3,3.0,Saints,Morten Andersen 34 yard field goal,10,14
4,4.0,Saints,Morten Andersen 33 yard field goal,13,14
5,4.0,Raiders,Dokie Williams 15 yard pass from Marc Wilson (Chris Bahr kick),13,21
6,4.0,Raiders,"Safety, Alzado tackled D. Wilson in end zone",13,23
