,Quarter,Tm,Detail,MIN,GNB
0,1.0,Packers,Paul Coffman 7 yard pass from Lynn Dickey (Al Del Greco kick),0,7
1,2.0,Packers,Al Del Greco 24 yard field goal,0,10
2,2.0,Vikings,Jan Stenerud 39 yard field goal,3,10
3,2.0,Vikings,Steve Jordan 14 yard pass from Wade Wilson (Jan Stenerud kick),10,10
4,2.0,Packers,Ed West 2 yard rush (Al Del Greco kick),10,17
5,3.0,Vikings,Alfred Anderson 28 yard pass from Wade Wilson (Jan Stenerud kick),17,17
6,3.0,Packers,Jessie Clark 18 yard pass from Lynn Dickey (Al Del Greco kick),17,24
7,3.0,Packers,Jessie Clark 2 yard pass from Lynn Dickey (Al Del Greco kick),17,31
8,4.0,Packers,James Lofton 63 yard pass from Lynn Dickey (Al Del Greco kick),17,38
9,4.0,Packers,Gerry Ellis 6 yard rush (Al Del Greco kick),17,45
