,Quarter,Tm,Detail,HOU,DEN
0,1.0,Broncos,Jim Turner 45 yard field goal,0,3
1,1.0,Broncos,Steve Ramsey 3 yard rush (Jim Turner kick),0,10
2,2.0,Broncos,Billy Masters 25 yard pass from Steve Ramsey (Jim Turner kick),0,17
3,2.0,Oilers,Ken Burrough 57 yard pass from Dan Pastorini (Mark Moseley kick),7,17
4,2.0,Oilers,Mark Moseley 20 yard field goal,10,17
5,3.0,Broncos,Jim Turner 29 yard field goal,10,20
6,3.0,Broncos,Jim Turner 40 yard field goal,10,23
7,4.0,Oilers,Jim Beirne 18 yard pass from Dan Pastorini (Mark Moseley kick),17,23
8,4.0,Broncos,Billy Van Heusen 66 yard rush (Jim Turner kick),17,30
