,Quarter,Tm,Detail,NYG,CLE
0,1.0,Browns,Lou Groza 15 yard field goal,0,3
1,1.0,Browns,Leroy Kelly 1 yard rush (Lou Groza kick),0,10
2,2.0,Browns,Gary Collins 24 yard pass from Frank Ryan (Lou Groza kick),0,17
3,3.0,Giants,Joe Morrison 9 yard rush (Pete Gogolak kick),7,17
4,4.0,Browns,Jim Houston 79 yard interception return (Lou Groza kick),7,24
5,4.0,Giants,Aaron Thomas 7 yard pass from Fran Tarkenton (Pete Gogolak kick),14,24
