,Quarter,Time,Tm,Detail,NWE,MIA
0,1.0,9:51,Patriots,Donte' Stallworth 30 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
1,1.0,4:28,Patriots,Kyle Brady 2 yard pass from Tom Brady (Stephen Gostkowski kick),14,0
2,2.0,14:57,Dolphins,Cleo Lemon 4 yard rush (Jay Feely kick),14,7
3,2.0,14:45,Patriots,Willie Andrews 77 yard kickoff return (Stephen Gostkowski kick),21,7
4,2.0,10:44,Patriots,Randy Moss 35 yard pass from Tom Brady (Stephen Gostkowski kick),28,7
5,2.0,6:47,Patriots,Randy Moss 50 yard pass from Tom Brady (Stephen Gostkowski kick),35,7
6,2.0,0:25,Patriots,Wes Welker 14 yard pass from Tom Brady (Stephen Gostkowski kick),42,7
7,4.0,11:35,Dolphins,Patrick Cobbs 1 yard rush (Jay Feely kick),42,14
8,4.0,10:30,Dolphins,Jason Taylor 36 yard interception return (Jay Feely kick),42,21
9,4.0,8:11,Patriots,Wes Welker 16 yard pass from Tom Brady (Stephen Gostkowski kick),49,21
10,4.0,3:45,Dolphins,Jesse Chatman 7 yard rush (Jay Feely kick),49,28
